,song_title,album_name,lyrics
26,Broke,Building Nothing Out of Something,"Broke Lyrics[Verse 1]
Broke account, so I broke a sweat
I've bought some things that I'll sort of regret about now

[Verse 2]
Broke your glasses, but it broke the ice
You said that I was an asshole and I'd paid the price

[Verse 3]
Broken hearts want broken necks
I've done some things that I want to forget, but I can't

[Verse 4]
Broke my pace and ran out of time
Sometimes I'm so full of shit that it should be a crime
[Verse 5]
Broke a promise 'cause my car broke down
Such a classic excuse, it should be bronze by now

[Verse 6]
Broke up and I'm relieved somehow
It's the end of the discussions that just go round and round
And round, and round, and round, and round
And round, and round, it shouldn't have been anyway
No way, no way, that's right, that's right

[Bridge]
Uh oh, uh oh, uh oh, uh oh no
Uh oh, uh oh, uh oh, uh oh no
Uh oh, uh oh, uh oh, uh oh no
It was like everything was evidence of broken time

[Outro]
You're living on fancy wine, you'll drink that turpentine
You're starting conversations, you don't even know the topic11Embed"
27,Little Motel,We Were Dead Before the Ship Even Sank,"Little Motel Lyrics[Verse 1]
I hope that you like it in your little motel
And I hope that the suite sleeps and suits you well
Well, I can see it as time and a sight through smell and
That's why it's nice to be by yourself

[Chorus 1]
'Cause that's what I'm waiting for
That's what I'm waiting for
That's what I'm waiting for, aren't I?
That's what I'm waiting for
That's what I'm waiting for
That's what I'm waiting for, darlin'

[Verse 2]
We treat mishaps like sinking ships and
I know that I don't want to be out to drift
Well, I can see it in your eyes like I taste your lips and
They both tell me that we're better than this
[Chorus 1]
'Cause that's what I'm waiting for
That's what I'm waiting for
That's what I'm waiting for, aren't I?
That's what I'm waiting for
That's what I'm waiting for
That's what I'm waiting for, darlin'

[Verse 3]
We trade tit for tat like that for this
And I don't think that there was an insult that was missed
I can see it in your eyes like I taste your lips and
I'm very sorry

[Chorus 1]
'Cause that's what I'm waiting for
That's what I'm waiting for
That's what I'm waiting for, aren't I?
That's what I'm waiting for
That's what I'm waiting for
That's what I'm waiting for, darlin'

[Verse 4]
Remainders of a shooting star
Landed directly on our broke down little car
Before then we had made a wish
That we would be missed
If one or another just did not exist
[Chorus 2]
'Cause that's what we're waiting for
That's what we're waiting for
That's what we're waiting on, aren't we?
That's what we're waiting for
That's what we're waiting for
That's what we're waiting on, aren't we?

'Cause that's what we're waiting for
That's what we're waiting for
That's what we're waiting for, darling
That's what we're waiting for
That's what we're waiting for
That's what we're waiting for, aren't we?6Embed"
28,King Rat,No One’s First and You’re Next,"King Rat Lyrics[Intro]
(Ha, ha, ha, ha, I love this shit)
Well!
Well!
Well!
Well...

[Verse 1]
We spun like birds on fire
Right down towards the residence
And I, I took all that I desired
Even crooks have to pay the rent
We swam like rats on fire
Right, right down the reservoir
We took all that we could carry
But we tried to carry more
[Chorus]
And you know, you know, you know it all went wrong
And you know, you know, you know it was all wrong

[Verse 2]
We choked on straight tap water
Well, I'm going to have to try the real thing
I took your laugh by the collar
And it knew not to swing
Any time I tried an honest job
Well, the till had a hole in it, ha ha
We laughed about paying rent
'Cause the county jails, they're free

[Chorus]
And you know, you know, you know it was all wrong
And you know, you know, you know it was all wrong
Ohh!

[Verse 3]
Deep water, deep water, senseless denial
I went down like a rag doll, rage of a child
Well, deep water, deep water, senseless denial
I went down like a rag doll, rage of a child
Oh, lucky, lucky, lucky, lucky me again
I said it looks like it's time to use my feet again
Well, I just spent my last one hundred dollars
God, I'll pay my bail again
Oh, I don't care
Oh, I just don't care

Deep water, deep water, senseless denial
I went down like a rag doll shaken and shy
Deep water, deep water, senseless denial
I went down like a burned out wretch of a child
Well, King Rat has me on his list again
I can never be on the fence again
Well I found out it's all loud open like an organ and he
Talk, talk, talk, talk again

He promised me that when I cheated him
But I could open my eye, well
Lucky, lucky, lucky, lucky, lucky
Lucky, lucky, lucky, lucky, lucky me again

Deep water, deep water, senseless denial
I got fed like a fish full of open smiles
Blue water, deep water, senseless denial
I got fed like a fish on the cardboard smiles

[Outro]
Well, well
What do you have to say for yourself?
I said well, well, well
I said well, well, well, well, well
Lucky, lucky, lucky, lucky me again
I hardly knew I should use my feet again
(What do you have to say for yourself?
What do you have to say for yourself?)2Embed"
29,Night on the Sun,Night on the Sun,"Night on the Sun Lyrics[Pre-Chorus]
So, turn off the light cause it's night on the sun
You're hopelessly hopeless
I hope so, for you

[Chorus]
Freeze your blood and then stab it into, in two
Stab your blood into me and blend
I eat my own blood and get filled up, I'll get filled up
I get filled up on me and end

[Pre-Chorus]
So, turn off the light cause it's night on the sun
You're hopelessly hopeless
I hope so, for you
So, turn off the light cause it's night on the sun
You're hopelessly hopeless
I hope so, for you
[Chorus]
Freeze your blood and then stab it into, in two
Stab your blood into me and blend
I eat my own blood and get filled up, I'll get filled up
I get filled up on me and end

[Bridge]
Freeze your blood and then stab it into me
Freeze your blood and then stab it into me
Freeze your blood and then stab it in two into me and blend

[Pre-Chorus]
So, turn off the light cause it's night on the sun
You're hopelessly hopeless
I hope so, for you

[Outro]
Well, there's one thing to know about this town
It's five hundred miles underground
And that's alright, that's alright
Well, there's one thing to know about this globe
It's bound and it's willing to explode
And that's alright, that's alright
That's alright, that's alright
Well, there's one thing to know about this town
Not a person doesn't want me underground
That's alright, that's alright
That's alright
There's one thing to know about this town
It's five hundred miles underground and that's okay
That's alright, that's alright
There's one thing to know about this earth
We're put here just to make more dirt and that's okay
That's alright, that's alright
There's one thing to know about this globe
It's bound and it's willing to explode and that's okay
And that's alright, that's alright
There's one thing to know about this town
It's five hundred miles underground and that's okay
That's alright, that's alright6Embed"
30,Blame It on the Tetons,Good News for People Who Love Bad News,"Blame It on the Tetons Lyrics[Chorus]
Blame it on the Tetons
Yeah, I need a scapegoat now

[Verse 1]
No, my dog won't bite you
Though it had the right to
You ought to give her credit
'Cause she knows I would've let it happen

[Chorus]
Blame it on the weekends
God, I need a cola now

[Verse 2]
Oh, we mumble loudly
Wear our shame so proudly
Wore our blank expressions
Trying to look interesting
[Chorus]
Blame it all on me 'cause
God, I need a cold one now

[Bridge]
All them eager actors
Gladly take the credit
For the lines created
By the people tucked away from–
Sight–
Is just a window
From the room we're bound to
If you find a way out
Oh, would you just let me know how?
Would you just let me know how?

[Chorus]
Blame it on the web, but the
Spider's your problem now

[Verse 3]
Language is the liquid
That we're all dissolved in
Great for solving problems
After it creates a problem
[Outro]
Blame it on the Tetons
God, I need a scapegoat now

[Outro]
Everyone's a building burning
With no one to put the fire out
Standing at the window looking out
Waiting for time to burn us down
Everyone's an ocean drowning
With no one really to show how
They might get a little better air
If they turned themselves into a cloud12Embed"
31,Ansel,Strangers to Ourselves,"Ansel Lyrics[Intro]
Here we go!

[Verse 1]
I took a trip down to Mexico
With my father and brother, Ansel
You can't know, well, you can't ever really know
Was I really supposed to know?
How the hell would I know?
There it goes!

[Verse 2]
I made a mess of myself and the trip on the whole
My father stayed patient with me; why? I don't know
You can't know, you can't ever really know
That's the last time I'd see my brother, Ansel
There it goes, so!
[Refrain]
Troubles on the head winds, troubles on the tail winds
Troubles on the head winds, troubles on the tail winds

[Verse 3]
Me and my sister we hung on the phone
Watching the news as they looked for Ansel
On top of that mountain, underneath the snow
Their dogs were a-sniffin', I guess you never know
You can't know, well, you can't ever really know
Would you really want to know?
How the hell would you know?

[Interlude]
On gears around an uncaring sun
It doesn't know what it gave
As the bone moon winds 'round again
Again this allows one sphere's heart to pump
Pumping waves of hearts that come and go
And then come and then

[Verse 4]
You can't know, well, you won't ever really know
Would you really want to know?
No, you can't know
The last time that you'll ever see another soul
No, you never get to know
No, you don't know7Embed"
32,Parting of the Sensory,We Were Dead Before the Ship Even Sank,"Parting of the Sensory Lyrics[Verse 1]
There's no work in walking in to fuel the talk
I would grab my shoes, and then away I'd walk
Through all the stubborn beauty, I'd start at the dawn
Until the sun had fully stopped
Never walking away from
Just a way to pull apart
Dehydrate back into minerals
A lifelong walk to the
Same exact spot

[Chorus]
Carbon's anniversary
The parting of the sensory
Old, old mystery
The parting of the sensory
[Verse 2]
Who the hell made you the boss?
We placed our chips in all the right spots
But still lost
Any shithead who had ever walked
Could take the ship and do a much finer job
These fit like clothes made out of wasps
Aw, fuck it, I guess I lost

[Chorus]
The parting of the sensory
Carbon's anniversary
Just part it again if you please
Carbon's anniversary

[Verse 3]
Who the hell made you the boss?
If you say what to do, I know when not to stop
If you were the ship, who would ever get on?
The weather changed it for the worse
And came down on us like it had been rehearsed
Unlikely hope, but change will surely come
It'd be awful for most, but really good for some
I took a trip to the exact same spot
We pulled the trigger, but we forgot to cock
And every single shot...
Aw, fuck it, I guess we lost
[Bridge]
Someday you will die and somehow
Something's gonna steal your carbon, hey
Someday you will die and somehow
Something's gonna steal your carbon, hey-hey-hey
Well, someday you will die somehow
And something's gonna steal your carbon
(Someday you will die somehow
And something's gonna steal your)
Someday you will die and someone's
Or something will steal your carbon
(Someday you will die somehow
And something's gonna steal your)
Someday something will die
And somehow you'll figure out how often
You will die somehow
And something's gonna steal your carbon
Something will die
And you will probably just steal its carbon
Someday you will die somehow
And something's gonna steal your carbon, hey-hey-hey
Someday, somehow, or something will die
And you will steal its carbon
Somehow you will die and you will figure out how often
You will die somehow
And something's gonna steal your carbon
Someday you will die somehow
And someone's gonna steal your carbon, hey
Someday you will die, and somehow
You will figure out how often
[Outro]
Someday you will die somehow
And something's gonna steal your carbon
You will die and somehow
It's gonna steal your
Always have to figure out and find out
We were bathed in carbon
You will figure out that somehow you will
Well, someday you will die somehow
And someone's gonna steal your carbon19Embed"
33,Never Ending Math Equation,Building Nothing Out of Something,"Never Ending Math Equation Lyrics[Verse 1]
I'm the same as I was when I was six years old
And, oh my God, I feel so damn old
I don't really feel anything
On a plane, I can see the tiny lights below
And, oh my God, they look so alone
Don't think they really feel anything
Oh my God, I've gotta, gotta, gotta, gotta move on
Where do you move when what you're moving from
Is yourself, is yourself?

[Chorus]
The universe works on a math equation
That never even ever really even ends in the end
Infinity spirals out creation
We're on the tip of its tongue, and it is saying
""Well, we ain't sure where you stand
You ain't machines and you ain't land
And the plants and the animals, they are linked
And the plants and the animals eat each other""
[Verse 2]
I'm the same as I was when I was six years old
And, oh my God, I feel so damn old
I don't really feel anything
On a plane, I can see the tiny lights below
And, oh my God, they look so alone
Don't think they really feel anything
Oh my God, I've gotta, gotta, gotta, gotta move on
Where do you move when what you're moving from
Is yourself, is yourself?

[Chorus]
The universe works on a math equation
That never even ever really even ends in the end
Infinity spirals out creation
We're on the tip of its tongue, and it is saying
""Well, we ain't sure where you stand
You ain't machines and you ain't land
And the plants and the animals, they are linked
And the plants and the animals eat each other""

[Outro]
Well, oh my God and oh my cat
I told my Dad what I need
Well, I know what I have and want
But I don't know what I need
Well, he said, he said, he said, he said
""Where we're going I'm dead""3Embed"
34,Spitting Venom,We Were Dead Before the Ship Even Sank,"Spitting Venom Lyrics[Pre-Chorus]
We were spitting venom
At most everyone we know
If the damned gave us a road map
Then we'd know just where to go

[Chorus]
Now let it drop
Let it all drop
Let it all drop
Oh, let it all fall off

[Verse 1]
Well you were talking soda pop
You talked it quite a lot
The opinions that I do not give
The opinions I ain't got
[Chorus]
So let it drop
Let it all drop
Let it all drop
Oh, let it all fall off

[Bridge]
Well, you were spitting venom
At most everyone you know
If you truly knew the gravity
You'd know which way to go

[Chorus]
Well, let it drop
Let it all drop
Let it all drop
Oh, let it all fall off

[Verse 2]
My ears were pressing firmly
Right against your mouth to hear
When you tried to spit the venom out
Your words were not so clear
Now drop

Hold on to what you need
We've got a knack for fucked up history
Hold on to what you need
We've got a knack for messed up history
Well, we went downtown
And we sat in the rain
Well, look in one direction and wait for a train
Thought over, it's all over

I didn't know you kept track
I didn't know there was a score
But it looks like you're the winner; I ain't gonna play no more
It's over, game over

Well, we walked real stiff and our canes tapped the ground
You hit me with yours
And said ""Pull yourself together""
It's over, oh, it's over

You can say what you want but don't act like you care
It takes more than one person
To decide what's fair
It's over, think it over

[Pre-Chorus]
You were spitting venom
At most everyone you know
If the damned gave you a road map
Then you'd know just where to go
[Verse 3]
So we carried all the groceries in
While hauling out the trash
And if this doesn't make us motionless
I do not know what can

So to say
What a rotten thing to say, such an awful thing to say
I didn't mean to bite you, sorry
What always did, what always did
What always had to sling

[Chorus]
So let it drop
Let it all drop
Let it all drop
Oh, let it all fall off

[Chorus]
Let it drop
Let it all drop
Let it all drop
Oh, let it all fall off

[Outro]
Cheer up baby
It really wasn't always quite so bad
For every bit of venom that came out
The antidote was had

Cheer up baby
It wasn't always quite so bad
For every bit of venom that came out
The antidote was had

Cheer up baby
It wasn't really always quite so bad
For every bit of venom that came out
The antidote was had

Cheer up baby
It wasn't always quite so bad
For every bit of venom that came out
The antidote was had

Cheer up baby
It wasn't really always quite so bad
For every bit of venom that came out
The antidote was had

Cheer up baby
It wasn't really always quite so bad
For every bit of venom that came out
The antidote was had

Cheer up baby
It wasn't always quite so bad
For every bit of venom that came out
The antidote was had

Cheer up

Cheer up baby
It wasn't really always quite so bad
For every bit of venom that came out
The antidote was had

Cheer up baby
It wasn't really always quite so bad
For every bit of venom that came out
The antidote was had

Cheer up baby
It wasn't really always quite so bad
For every bit of venom that came out
The antidote was had

Cheer up baby
It wasn't really always quite so bad
For every bit of venom that came out
The antidote was had

(Cheer up baby
It wasn't really always quite so bad
For every bit of venom that came out
The antidote was had)

Cheer up baby
It wasn't always quite so bad
For every bit of venom that came out
The antidote was had2Embed"
35,The Stars Are Projectors,The Moon & Antarctica,"The Stars Are Projectors Lyrics[Chorus 1]
In the last second of life
They're gonna show you how
How they run this show
Sure, run it into the ground
In the last second of your life
They're gonna show you how
How they run this show
They run it into the ground

[Chorus 1]
In the last second of life
They'll show you how
They run this show
Sure, run it into the ground
In the last second of life
They're gonna show you how
[Chorus 2]
And the stars are projectors, yeah
Projectin' our lives down to this planet Earth
And the stars are projectors, yeah
Projectin' our minds down to this planet Earth
Everyone wants a double feature
They wanna be their own damn teacher, and how?
All the stars are projectors, yeah
Projectin' our lives down to this planet Earth

[Verse 1]
It's all about moderate climates
You gotta be cold and be hot for sure
And it's all about the moderate climates
You wanna be blessed and be cursed for sure

[Chorus 2]
And the stars are projectors, yeah
Projectin' our lives down to this planet Earth
And the stars are projectors, yeah
Projectin' our lives down to this planet Earth
Everyone wants a double feature
They wanna be their own damn teacher, and how?
All the stars are projectors, yeah
Projectin' our minds down to this planet Earth
[Verse 2]
You've got the harder part
You've got the kinder heart, and it's true
I've got the easy part
I've got the harder heart, ain't that true?
Well, right wing, left wing, chicken wing
It's built on findin' the easier ways through
God is a woman and the woman is
An animal, that animal's man, and that's you

[Vocal Outro]
Was there a need for creation?
That was hidden in a math equation that asks this:
Where do circles begin?
Where do circles begin?

[Instrumental Outro]5Embed"
36,Truckers Atlas,The Lonesome Crowded West,"Truckers Atlas Lyrics[Verse 1]
I'm going to Colorado to unload my head
I'm going to New York City and that's in New York, friends
I'm going to Arizona, sex on the rocks all warm and red
And we bled

[Verse 2]
And the writing in the stall said, ""We write our maps in the stalls""
I'm going up to Alaska, I'm gonna get off scot-fucking-free
And we all did

[Chorus]
This truckers atlas roads the ways
The freeways and highways don't know
The buzz from the bird on my dash
Road locomotive phone
This truckers atlas roads the ways
The freeways and highways don't know
The buzz from the bird on my dash
Road locomotive phone
[Verse 3]
I don't feel and I feel great
I sold my atlas by the freight stairs
I do lines and I crossed roads
I crossed the lines of all the great state roads

[Verse 4]
I'm going up, going over to Montana
You got yourself a trucker's atlas
You knew you were all hot
Well, maybe you'll go and blow a gasket
You start at the northwest corner
Go down through California
Beeline, you might drive three days
Three nights to the tip of Florida

[Verse 5]
Do you speak the lingo?
Oh, oh no
Do you speak the lingo?
No, no
How far does your road go?
Oh, no, you don't know?

[Verse 6]
I'm going to Colorado to unload my head
I'm going to New York City and that's in New York, friends
I'm going up to Alaska, I'm gonna get off scot-fucking-free
And we all did
[Verse 7]
And the writing in the stall said, ""We write our maps in the stalls""
I'm going to Arizona, sex on the rocks all warm and red
And we all bled

[Chorus]
This truckers atlas roads the ways
The freeways and highways don't know
The buzz from the bird on my dash
Road locomotive phone
This truckers atlas roads the ways
The freeways and highways don't know
The buzz from the bird on my dash
Road locomotive phone

[Verse 8]
I don't feel and it feels great
I sold my atlas by the freight stairs
I do lines and I crossed roads
I crossed the lines of all the great state roads

[Verse 9]
I'm going up, going over to Montana
You got yourself a trucker's atlas
You knew you were all hot
Well, maybe you'll go and blow a gasket
You start at the northwest corner
Go down through California
Beeline, you might drive three days and
Three nights to the tip of Florida
[Outro]
(Where I do lines in at the crossroads where I—
I control my ant—
How far do your roads go?
I wanted to 'round, go
Goin' to Colorado to unload my head
Goin' to New York City
I'm going up to Alaska
And we're riding with the [?], riding down
[?])1Embed"
37,The View,Good News for People Who Love Bad News,"The View Lyrics[Verse 1]
Your gun went off
Well, you shot off your mouth and look where it got you
My mouth runs on too
Shouts from both sides
""Well, we've got the land but they've got the view""
Well, now here's the clue
Life, it rents us
And yeah, I hope it put plenty on you
Well, I hope mine did too

[Chorus]
As life gets longer, awful feels softer
Well, it feels pretty soft to me
And if it takes shit to make bliss
Then I feel pretty blissfully
[Verse 2]
Your gun went off
Well, you shot off your mouth and look where it got you
My mouth runs on too
(Pow pow pow pow pow pow!)
Shots from both sides
""Well, we've got the land but they've got the view"" (Pow pow pow!)
Well, now here's the clue
(We are fixed, right where we stand)
Life, it rents us
And yeah, I hope it put plenty on you
Well, I hope mine did too
(We are fixed right where we are)

[Chorus]
As life gets longer, awful feels softer
Well, it feels pretty soft to me
And if it takes shit to make bliss
Well, I feel pretty blissfully

[Instrumental Break]
(For every invention made how much time did we save?
We're not much farther than we were in the cave!)

[Bridge]
As life gets longer, awful feels softer
And it feels pretty soft to me
And if it takes shit to make bliss
Well, I feel pretty blissfully
If life's not beautiful without the pain
Well, I'd just rather never-ever even see beauty again
Well, as life gets longer, awful feels softer
And it feels pretty soft to me, oh-ho!
[Outro]
(For every good deed done there is a crime committed!)
(We are fixed)
(For every step ahead we could have just been seated!)
(We are fixed)
As life gets longer, awful feels softer
Well, it feels pretty soft to me
(We are fixed)
And if it takes shit to make bliss
Well, I feel pretty blissfully
(We are fixed)
We are fixed, we are fixed
We are fixed, right where we stand8Embed"
38,Coyotes,Strangers to Ourselves,"Coyotes Lyrics[Verse 1]
Coyotes tiptoe in the snow after dark
At home with the ghosts in the national parks
Mankind's behavin' like some serial killers
Giant ol' monsters afraid of the sharks

[Chorus]
And we're in love with all of it
And we say, ""What can we say?""

[Verse 2]
Walking with ghosts in the national parks
Coyotes tiptoe in the snow after dark

[Chorus]
And we're in love with all of it
And we say, ""What can we say?""
[Verse 3]
Another branch on the timber-bound tree
Birds flying low, looking downwards to feed
Mankind's behavin' like some serial killers
Giant ol' monsters afraid of the sharks

[Chorus]
And we're in love with all of it
And we say, ""What can we say?""

[Bridge]
And we say, ""We're in love with all of it""
And we say, ""We're in love with everything""
And we say, ""What can we say?""
And we say, ""We're in love with all of it""
And we say, ""We're in love with everything""
And we say, ""What can we say?""

[Outro]
And we say, ""We're in love with all of it""
And we say, ""We're in love with everything""
And we lie, we love to lie15Embed"
39,Interstate 8,Interstate 8,"Interstate 8 Lyrics[Verse 1]
Spent 18 hours waiting stoned for space
I spent the same 18 hours in the same damn place
I'm on a road shaped like a figure 8
I'm going nowhere, but I'm guaranteed to be late

[Chorus]
You go out like a riptide
You know that ball has no sides
You're an angel with an amber halo
Black hair and the devil's pitchfork
Wind-up anger with the endless view of
The ground's colorful patchwork
How have you been?
How have you been?
How have you?
How have you?
[Verse 2]
I drove around for hours, I drove around for days
I drove around for months and years and never went no place
We're on a pass, we're on pass
I stopped for gas, no working place
We pay for gas to drive around
Around the Interstate 8

[Chorus]
You go out like a riptide
You know a ball has no sides
You're an angel with an amber halo
Black hair and the devil's pitchfork
Wind-up anger with the endless view of
The ground's colorful patchwork
How have you been?
How have you been?
How have you?
How have you?Embed"
40,The Best Room,Strangers to Ourselves,"The Best Room Lyrics[Verse 1]
Let loose with your charms
Go reckless, unharmed
We all signed the card:
""Get well, but don't you try too hard""
The lessons unlearned
Oh, this meeting is adjourned
Oh, these Western concerns
Hold my place in line while I get your turn

[Bridge]
To the empty balconies we serenade
All the playgrounds where them kids don't get to play
Dirty parkies went and chased them all away
To the game consoles to fatten
[Verse 2]
The best room they have
Is the last room you want
The bathroom's outside
Police tape is tied
To the doorknobs for rooms
Nine through thirty-two
These Western concerns
We beg while we chew

[Chorus]
These Western concerns are all I ever really learned to be concerned with
But don't you, don't you know it's hard
Feeling tired every time that you try?
Ain't it hard feeling tired all the time?

[Verse 3]
The family living upstairs must have a fleet of rider lawn mowers
While the novelist to my right's convinced that every woman's a whore
But he bothers me time and again
To set him up with my very best friends and I say, ""What?!""
Says he doesn't restate but he will not shut up!

[Chorus]
Well don't you, don't you know it's hard
Feeling tired every time that you try?
Ain't it hard feeling tired all the time?
Well don't you, don't you know
[Refrain]
I'm going to bury
My head in the woods right now
Scan for some mycelium
And bring a little back to town

[Chorus]
Well don't you, don't you know it's hard (I'm going to bury)
Feeling tired every time that you try? (My head in the woods right now)
Ain't it hard feeling tired all the time? (Scan for some mycelium and bring a little back to town)

[Verse 4]
Go reckless, unharmed
Yep, the shut-ins, they're well armed
Well, we all led the charge
'Til we ran aground in our party barge
Every little gift was just one more part of their grift
Oh, yeah, we know it
Oh, yeah, we know it

[Outro]
The best news that we got
Was some dumb hokum we'd all bought
Oh, though reckless, feeling great
We're the sexiest of all primates
Let's let loose with our charms
Shake our ass and wave our arms
All going apeshit5Embed"
41,Bury Me with It,Good News for People Who Love Bad News,"Bury Me with It Lyrics[Verse 1]
We were shooting at a mountain of dirt
Well nothing was broken, nothing was hurt
But I probably really should have been at work
But if my free time's gone, would you promise me this?

[Chorus]
That you will please bury me with it!
Please bury me with it!

[Verse 2]
Well as sure as planets come, I know that they end
And if I'm here when that happens
You promise me this my friend

[Chorus]
Please bury me with it!
I just don't need none of that Mad Max bullshit!
[Verse 3]
Well the suit got tight, and it split at the seams
But I kept it out of habit, and I kept it real clean
But if it's getting faded, if it's running out of thread
Could you do this for me my friend?

[Chorus]
And please just please bury me with it!
Please bury me with it!

[Verse 4]
Well we moved to the left, and we moved to the right
And sure as hell we stayed out almost every single night
But if the party's over, if the fun has to end
Could you do this for me my friend?

[Chorus]
Would you just please bury me with it!
Please! Bury me with it!

[Bridge]
Good news for people who love bad news
We've lost the plot and we just can't choose
We are hummingbirds who are just not willing to move
And there's good news for people who love bad news
We are hummingbirds who lost the plot and we will not move
We have good news for anyone who loves bad news
[Verse 5]
We were aiming for the moon
We were shooting at the stars
But the kids were just shooting at the buses and the cars
So don't drink the water
Don't you breathe the air
And if it's gotten to that point then I have to declare

[Chorus]
That you just please bury me with it!
Please bury me with it!

[Verse 6]
Well fads they come, and fads they go
And God, I love that rock and roll!
Well the point was fast, but it was too blunt to miss
Life handed us a paycheck
We said ""We worked harder than this!""

[Chorus]
Please bury me with it
Please bury me with it

[Outro]
Ah shit now
We are hummingbirds who are just not willing to move
And there's good news for people who love bad news
We are hummingbirds who've lost the plot and we will not move
We have good news for anyone who loves bad news5Embed"
42,Lives,The Moon & Antarctica,"Lives Lyrics[Chorus 1]
Everyone's afraid of their own life
If you could be anything you want
I bet you'd be disappointed, am I right?
No one really knows the ones they love
If you knew everything they thought
I bet that you would wish that they'd just shut up

[Verse]
Well, you were the dull sound of sharp math when you were alive
No one's going to play the harp when you die
And if I had a nickel for every damn dime
I’d have half the time, do you mind?

[Chorus 2]
Everyone's afraid of their own lives
If you could be anything you want
I bet you'd be disappointed, am I right?
Am I right? Am I right? Am I right?
Am I right? Am I right? Am I right?
[Bridge 1]
And it’s our lives
It's hard to remember, it’s hard to remember we're alive
For the first time
It's hard to remember, it’s hard to remember we're alive
For the last time
It's hard to remember, it’s hard to remember to live
Before you die
It's hard to remember, it’s hard to remember that our lives
Are such a short time
It's hard to remember, it’s hard to remember when it takes
Such a long time
It's hard to remember
It’s hard to remember

[Bridge 2]
My mom’s God is a woman, and my mom, she is a witch
I like this
My hell comes from inside, comes from inside myself
Why fight this?

[Chorus 3]
Everyone's afraid of their own life
If you could be anything you want
I bet you'd be disappointed, am I right?4Embed"
43,Sugar Boats,Strangers to Ourselves,"Sugar Boats LyricsThis rock of ours is just some big mistake
And we will never know just where we go
Or where we have came from
These veins of mine are now some sort of fuse
And when they light up and my mind blows up
My heart is amused so
This heart of mine is just some sort of map
That doesn't care at all or worry about where the hell you're at
But you're right there

Well, I've been meaning to dismiss you
Yeah I have some plans to dismiss you
So stand by, by, by, by, bye-bye
Wave goodbye, sugar boats!
As soon as you paint every last grain of sand
As you soon as you paint every star
In the sky, sky, sky, sky, sky, sky
Wave goodbye, sugar boats!
Well, I’m swatting at mosquitoes as they’re orbiting me
I'm orbiting the sun and this goes on and on and on, you see
This heart of mine is just some broke machine
And when it gets a-goin', and it often gets a-goin'
It starts blowin' steam
Here we go again!
This rock of ours is just some big mistake
And we will never know just where we go
Or where we have came from
This watch of mine is like some sort of void
Cause when I look in, and I shouldn't look in
I, I see it swallow my time
Oh no, there it goes!

Well, I ain’t getting on no fast plane
Hell, I ain’t getting on no stuffy train
Sugar boats on the Atlantic are fine
The sugar boats, they're just fine
I'll stand on the deck so you could see
I'll stand on the deck you could wave bye, bye, bye, bye
Here's the ghost that goes and waves bye, bye, bye, bye
I'm the ghost that goes and waves bye, bye, bye3Embed"
44,"Whenever I Breathe Out, You Breathe In (Positive/Negative)",Building Nothing Out of Something,"Whenever I Breathe Out, You Breathe In (Positive/Negative) Lyrics[Intro]
Hey, haven't seen you around in a while
Hey, haven't seen you around in a while
Hey, haven't seen you around in a while
Hey

[Verse 1]
I didn't go to work for a month
I didn't leave my bed for eight days straight
I haven't hung out with anyone
If I did, I'd have nothing to say
I didn't feel angry or depressed
I didn't feel anything at all
I didn't want to go to bed
And I didn't want to stay up late
When you're living your life, well, that's the price you'll pay
[Chorus]
Whenever I breathe out, you're breathing in
Whenever I speak out, you take it all away
Whenever I breathe out, you're breathing in
Whenever I speak out, you take it all away

[Bridge]
Your feelings are positive, negative, positive, negative
I'm feeling this positive, negative, positive, negative
Your seasons are positive, negative, positive, negative

[Chorus]
Whenever I breathe out, you're breathing in
Whenever I speak out, you take it all away
Whenever I breathe out, you're breathing in
Whenever I speak out, you take it all away

[Verse 2]
I didn't go to work for a month
I didn't leave my bed for eight days straight
I haven't hung out with anyone
If I did, I'd have nothing to say5Embed"
45,Out of Gas,The Lonesome Crowded West,"Out of Gas Lyrics[Verse]
Out of gas, out of road
Out of car, I don't know how I'm gonna go and
I had a drink the other day
Opinions were like kittens, I was giving them away and
I had a drink the other day
I had a lot to say, and I said:

[Chorus]
You will come down soon too
You will come down too soon
You will come down soon too
You will come down, you'll come down, come down
You will come down soon too
You will come down too soon
You will come down soon too
Soon enough, you will come down, come down
[Verse]
Out of gas, out of road
Out of car, I don't know how I'm gonna go and
I had a drink the other day
Opinions were like kittens, I was giving them away and
I had a drink the other day
I had a lot to say, and I said:

[Chorus]
You will come down soon too
You will come down too soon
You will come down soon too
Soon enough, you will come down, come down
You will come down soon too
You will come down too soon

[Outro]
You'll come down, come down
You'll come down, come down1Embed"
